DATE,RELEASE_STAGE,DIRECTOR_VERSION,CF_RELEASE_COMMIT_SHA,CF_DEPLOYMENT_STEMCELL,DIEGO_RELEASE_VERSION,DIEGO_RELEASE_COMMIT_SHA,DIEGO_DEPLOYMENT_STEMCELL
Wed May 6 00:43:07 UTC 2015,release_candidate,1.2859.0,a8a68628,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1186.0,fe5d8cd8,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Wed May 6 03:36:05 UTC 2015,release_candidate,1.2859.0,b727bfa0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1187.0,2c1838b6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Wed May 6 04:35:56 UTC 2015,release_candidate,1.2859.0,b727bfa0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1188.0,19ceefd9,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Wed May 6 04:48:51 UTC 2015,release_candidate,1.2859.0,b727bfa0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1189.0,e90b617a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Thu May 7 01:54:32 UTC 2015,release_candidate,1.2859.0,13473a30,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1192.0,4eeb3e58,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Thu May 7 02:01:54 UTC 2015,release_candidate,1.2859.0,13473a30,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1192.0,4eeb3e58,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Thu May 7 13:50:48 UTC 2015,release_candidate,1.2859.0,13473a30,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1193.0,6ef0b699,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Thu May 7 14:14:40 UTC 2015,release_candidate,1.2859.0,13473a30,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1194.0,21bb0577,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962
Fri May 8 06:45:22 UTC 2015,release_candidate,1.2859.0,5d00be54,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1198.0,9fc29298,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2968
Sat May 9 00:16:21 UTC 2015,release_candidate,1.2859.0,d23a4730,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2962,0.1198.0,9fc29298,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2969
